Type,lat,lng,Sentiment
Like,30.1418839,31.6285105,1
Like,7.559311800000001,-1.710095,1
Like,30.375321,69.34511599999999,1
Like,0.8554988,36.0893406,1
Like,36.1897593,5.4107984,1
Like,30.375321,69.34511599999999,1
Like,41.2033216,-77.1945247,1
Like,40.2671941,-86.1349019,1
Like,36.778261,-119.4179324,1
Like,51.5073509,-0.1277583,1
Like,9.081999,8.675277,1
Like,37.09024,-95.712891,1
Retweet,13.443182,-15.310139,0
Retweet,28.6139391,77.2090212,0
Retweet,32.9322434,-117.2428131,0
Retweet,25.0329694,121.5654177,0
Retweet,37.09024,-95.712891,0
Retweet,35.5956253,-78.73111039999999,0
Retweet,52.3555177,-1.1743197,0
Retweet,37.09024,-95.712891,0
Retweet,29.7604267,-95.3698028,0
Retweet,46.151241,14.995463,0
Retweet,31.9685988,-99.9018131,0
Retweet,31.2135511,-82.3540178,0
Retweet,41.3072959,-72.1151191,0
Retweet,40.0583238,-74.4056612,0
Retweet,51.38964600000001,1.3868339,0
Retweet,33.6446505,-117.8375475,0
Retweet,-32.522779,-55.765835,0
Follower,35.7595731,-79.01929969999999,0
Follower,37.09024,-95.712891,0
Follower,27.3364347,-82.53065269999999,0
Follower,37.09024,-95.712891,0
Follower,42.4072107,-71.3824374,0
Follower,29.4626646,-95.2337556,0
Follower,38.9071923,-77.0368707,0
Follower,27.6648274,-81.5157535,0
Follower,29.4626646,-95.2337556,0
Follower,37.09024,-95.712891,0
Follower,19.8967662,-155.5827818,0
Follower,19.8967662,-155.5827818,0
Follower,19.8967662,-155.5827818,0
Follower,19.8967662,-155.5827818,0
Follower,41.6032207,-73.087749,0
Follower,41.8953606,-87.63373270000001,0
Follower,19.8967662,-155.5827818,0
Follower,19.8967662,-155.5827818,0
Follower,37.09024,-95.712891,0
Follower,29.7604267,-95.3698028,0
Follower,37.1713881,-95.1266617,0
Follower,37.09024,-95.712891,0
Follower,37.09024,-95.712891,0
Follower,37.09024,-95.712891,0
Commenter,30.1418839,31.6285105,-1
Commenter,7.559311800000001,-1.710095,0
Commenter,13.443182,-15.310139,0
Commenter,30.375321,69.34511599999999,-1
Commenter,0.8554988,36.0893406,1
Commenter,36.1897593,5.4107984,-1
Commenter,31.5203696,74.35874729999999,-1
Commenter,28.6139391,77.2090212,0
Commenter,32.9322434,-117.2428131,-1
Commenter,25.0329694,121.5654177,0
