Type,lat,lng,Sentiment
Like,32.1656221,-82.9000751,1
Like,15.9052627,73.8213213,1
Like,30.9693492,70.94279139999999,1
Like,50.3784723,14.9705982,1
Like,35.6891975,51.3889736,1
Like,40.7744751,-74.038742,1
Like,37.9838096,23.7275388,1
Like,31.5687848,-93.4840645,1
Like,33.8629604,-118.3989127,1
Like,9.081999,8.675277,1
Like,60.64303109999999,17.0082511,1
Like,39.002262,-74.91268099999999,1
Like,39.9525839,-75.1652215,1
Like,43.6936031,-88.36093559999999,1
Retweet,35.6891975,51.3889736,0
Retweet,-22.9068467,-43.1728965,0
Retweet,44.0682019,-114.7420408,0
Retweet,30.3935337,-86.4957833,0
Retweet,35.6891975,51.3889736,0
Retweet,-1.2920659,36.8219462,0
Retweet,39.1989787,-94.4991809,0
Retweet,37.09024,-95.712891,0
Retweet,46.151241,14.995463,0
Retweet,38.5976262,-80.4549026,0
Retweet,31.9685988,-99.9018131,0
Follower,51.5073509,-0.1277583,0
Follower,36.2775228,-95.8364198,0
Follower,36.778261,-119.4179324,0
Follower,41.3072959,-72.1151191,0
Follower,13.7563309,100.5017651,0
Follower,40.0583238,-74.4056612,0
Follower,35.9606384,-83.9207392,0
Follower,29.4241219,-98.49362819999999,0
Follower,-31.9505269,115.8604572,0
Follower,37.09024,-95.712891,0
Follower,-32.522779,-55.765835,0
Follower,36.204824,138.252924,0
Follower,36.204824,138.252924,0
Follower,35.7595731,-79.01929969999999,0
Commenter,32.1656221,-82.9000751,0
Commenter,15.9052627,73.8213213,0
Commenter,35.6891975,51.3889736,-1
Commenter,30.9693492,70.94279139999999,-1
Commenter,-22.9068467,-43.1728965,0
