Type,lat,lng,Sentiment
Like,0.3475964,32.5825197,1
Like,42.074439,-87.68426699999999,1
Like,36.778261,-119.4179324,1
Like,37.09024,-95.712891,1
Like,36.190073,43.9930303,1
Retweet,31.9685988,-99.9018131,0
Retweet,31.9685988,-99.9018131,0
Retweet,55.378051,-3.435973,0
Retweet,42.5792583,-71.4378411,0
Retweet,32.8350521,-116.7664109,0
Retweet,40.5246711,-111.8638226,0
Retweet,42.5868882,-82.9195514,0
Retweet,-1.2920659,36.8219462,0
Retweet,40.7181721,-74.01501139999999,0
Commenter,34.0522342,-118.2436849,0
Commenter,37.09024,-95.712891,-1
Commenter,32.427908,53.688046,0
