Type,lat,lng,city,state,Sentiment
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,44.169449,-93.952851,Mankato,Minnesota,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,36.819087,-94.375909,Neosho,Missouri,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,NA,NA,NA,NA,POS
Like,44.933577,-91.388875,Chippewa Falls,Wisconsin,POS
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,38.82652,-77.01712,Washington,District of Columbia,NA
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,32.72793,-117.15529,San Diego,California,NA
Retweet,NA,NA,NA,NA,NA
Retweet,42.355492,-71.048611,Boston,Massachusetts,NA
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,NA,NA,NA,NA,NA
Retweet,41.074727,-111.966991,Layton,Utah,NA
Retweet,NA,NA,NA,NA,NA
