Type,lat,lng,Sentiment
Like,29.3641876,75.9056753,1
Like,-8.7611933,-63.90043979999999,1
Like,22.3193039,114.1693611,1
Like,37.09024,-95.712891,1
Like,36.778261,-119.4179324,1
Like,36.778261,-119.4179324,1
Retweet,-19.015438,29.154857,0
Retweet,53.9332706,-116.5765035,0
Retweet,42.5792583,-71.4378411,0
Retweet,31.9685988,-99.9018131,0
Retweet,40.5246711,-111.8638226,0
Follower,40.7127753,-74.0059728,0
Follower,46.8796822,-110.3625658,0
Follower,35.0077519,-97.092877,0
Follower,-1.2920659,36.8219462,0
Follower,32.1656221,-82.9000751,0
Follower,40.8611755,-79.89533279999999,0
Follower,-6.792354,39.2083284,0
Follower,36.190073,43.9930303,0
Follower,33.6188829,-117.9298493,0
Commenter,29.3641876,75.9056753,1
Commenter,-19.015438,29.154857,0
